"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Alabama","01","1999","1999",10,4430141,Unreliable,Unreliable
,"Alabama","01","2000","2000",11,4447100,Unreliable,Unreliable
,"Alabama","01","2004","2004",12,4530729,Unreliable,Unreliable
,"Alabama","01","2005","2005",11,4569805,Unreliable,Unreliable
,"Alabama","01","2006","2006",22,4628981,0.5,0.5
,"Alabama","01","2007","2007",21,4672840,0.4,0.4
,"Alabama","01","2008","2008",19,4718206,Unreliable,Unreliable
,"Alabama","01","2009","2009",31,4757938,0.7,0.7
,"Alabama","01","2010","2010",34,4779736,0.7,0.7
,"Alabama","01","2011","2011",19,4802740,Unreliable,Unreliable
,"Alabama","01","2012","2012",16,4822023,Unreliable,Unreliable
,"Alabama","01","2013","2013",30,4833722,0.6,0.6
,"Alabama","01","2014","2014",47,4849377,1.0,1.0
,"Alabama","01","2015","2015",70,4858979,1.4,1.6
,"Alabama","01","2016","2016",157,4863300,3.2,3.5
,"Alabama","01","2017","2017",198,4874747,4.1,4.3
,"Alabama","01","2018","2018",147,4887871,3.0,3.3
,"Alabama","01","2019","2019",213,4903185,4.3,4.7
,"Alabama","01","2020","2020",442,4921532,9.0,9.8
,"Alaska","02","2008","2008",13,687455,Unreliable,Unreliable
,"Alaska","02","2009","2009",22,698895,3.1,2.9
,"Alaska","02","2010","2010",10,710231,Unreliable,Unreliable
,"Alaska","02","2013","2013",12,735132,Unreliable,Unreliable
,"Alaska","02","2014","2014",14,736732,Unreliable,Unreliable
,"Alaska","02","2015","2015",14,738432,Unreliable,Unreliable
,"Alaska","02","2017","2017",37,739795,5.0,4.9
,"Alaska","02","2018","2018",18,737438,Unreliable,Unreliable
,"Alaska","02","2019","2019",24,731545,3.3,3.2
,"Alaska","02","2020","2020",69,731158,9.4,9.7
,"Arizona","04","1999","1999",22,5023823,0.4,0.5
,"Arizona","04","2000","2000",17,5130632,Unreliable,Unreliable
,"Arizona","04","2001","2001",20,5273477,0.4,0.4
,"Arizona","04","2002","2002",21,5396255,0.4,0.4
,"Arizona","04","2003","2003",22,5510364,0.4,0.4
,"Arizona","04","2004","2004",28,5652404,0.5,0.5
,"Arizona","04","2005","2005",35,5839077,0.6,0.6
,"Arizona","04","2006","2006",54,6029141,0.9,0.9
,"Arizona","04","2007","2007",38,6167681,0.6,0.6
,"Arizona","04","2008","2008",49,6280362,0.8,0.8
,"Arizona","04","2009","2009",55,6343154,0.9,0.9
,"Arizona","04","2010","2010",68,6392017,1.1,1.0
,"Arizona","04","2011","2011",40,6482505,0.6,0.6
,"Arizona","04","2012","2012",36,6553255,0.5,0.6
,"Arizona","04","2013","2013",52,6626624,0.8,0.8
,"Arizona","04","2014","2014",57,6731484,0.8,0.8
,"Arizona","04","2015","2015",72,6828065,1.1,1.1
,"Arizona","04","2016","2016",123,6931071,1.8,1.8
,"Arizona","04","2017","2017",267,7016270,3.8,4.0
,"Arizona","04","2018","2018",522,7171646,7.3,7.7
,"Arizona","04","2019","2019",796,7278717,10.9,11.6
,"Arizona","04","2020","2020",1476,7421401,19.9,21.3
,"Arkansas","05","2002","2002",24,2705927,0.9,0.9
,"Arkansas","05","2003","2003",26,2724816,1.0,1.0
,"Arkansas","05","2004","2004",30,2749686,1.1,1.1
,"Arkansas","05","2005","2005",26,2781097,0.9,1.0
