"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Alabama","01","1999","1999",26,4430141,0.6,0.6
,"Alabama","01","2000","2000",36,4447100,0.8,0.8
,"Alabama","01","2001","2001",47,4467634,1.1,1.1
,"Alabama","01","2002","2002",58,4480089,1.3,1.3
,"Alabama","01","2003","2003",41,4503491,0.9,0.9
,"Alabama","01","2004","2004",70,4530729,1.5,1.6
,"Alabama","01","2005","2005",66,4569805,1.4,1.5
,"Alabama","01","2006","2006",105,4628981,2.3,2.3
,"Alabama","01","2007","2007",140,4672840,3.0,3.1
,"Alabama","01","2008","2008",161,4718206,3.4,3.6
,"Alabama","01","2009","2009",169,4757938,3.6,3.7
,"Alabama","01","2010","2010",145,4779736,3.0,3.2
,"Alabama","01","2011","2011",140,4802740,2.9,3.0
,"Alabama","01","2012","2012",110,4822023,2.3,2.4
,"Alabama","01","2013","2013",98,4833722,2.0,2.1
,"Alabama","01","2014","2014",130,4849377,2.7,2.6
,"Alabama","01","2015","2015",119,4858979,2.4,2.5
,"Alabama","01","2016","2016",124,4863300,2.5,2.6
,"Alabama","01","2017","2017",167,4874747,3.4,3.4
,"Alabama","01","2018","2018",152,4887871,3.1,3.2
,"Alabama","01","2019","2019",161,4903185,3.3,3.3
,"Alabama","01","2020","2020",146,4921532,3.0,3.0
,"Alaska","02","1999","1999",13,624779,Unreliable,Unreliable
,"Alaska","02","2000","2000",24,626932,3.8,3.6
,"Alaska","02","2005","2005",15,666946,Unreliable,Unreliable
,"Alaska","02","2006","2006",24,675302,3.6,3.4
,"Alaska","02","2007","2007",12,680300,Unreliable,Unreliable
,"Alaska","02","2008","2008",73,687455,10.6,10.2
,"Alaska","02","2009","2009",74,698895,10.6,10.3
,"Alaska","02","2010","2010",55,710231,7.7,7.8
,"Alaska","02","2011","2011",48,722718,6.6,6.4
,"Alaska","02","2012","2012",48,731449,6.6,6.6
,"Alaska","02","2013","2013",46,735132,6.3,6.3
,"Alaska","02","2014","2014",47,736732,6.4,6.6
,"Alaska","02","2015","2015",57,738432,7.7,7.4
,"Alaska","02","2016","2016",51,741894,6.9,6.8
,"Alaska","02","2017","2017",51,739795,6.9,7.0
,"Alaska","02","2018","2018",38,737438,5.2,4.9
,"Alaska","02","2019","2019",47,731545,6.4,6.1
,"Alaska","02","2020","2020",45,731158,6.2,5.8
,"Arizona","04","1999","1999",97,5023823,1.9,2.0
,"Arizona","04","2000","2000",103,5130632,2.0,2.1
,"Arizona","04","2001","2001",109,5273477,2.1,2.1
,"Arizona","04","2002","2002",177,5396255,3.3,3.4
,"Arizona","04","2003","2003",197,5510364,3.6,3.7
,"Arizona","04","2004","2004",200,5652404,3.5,3.7
,"Arizona","04","2005","2005",245,5839077,4.2,4.4
,"Arizona","04","2006","2006",261,6029141,4.3,4.4
,"Arizona","04","2007","2007",290,6167681,4.7,4.8
,"Arizona","04","2008","2008",328,6280362,5.2,5.3
,"Arizona","04","2009","2009",394,6343154,6.2,6.4
,"Arizona","04","2010","2010",412,6392017,6.4,6.5
,"Arizona","04","2011","2011",352,6482505,5.4,5.5
,"Arizona","04","2012","2012",367,6553255,5.6,5.7
,"Arizona","04","2013","2013",309,6626624,4.7,4.7
,"Arizona","04","2014","2014",342,6731484,5.1,5.0
,"Arizona","04","2015","2015",362,6828065,5.3,5.5
,"Arizona","04","2016","2016",380,6931071,5.5,5.6
,"Arizona","04","2017","2017",414,7016270,5.9,5.9
,"Arizona","04","2018","2018",362,7171646,5.0,5.0
,"Arizona","04","2019","2019",364,7278717,5.0,4.9
,"Arizona","04","2020","2020",389,7421401,5.2,5.3
,"Arkansas","05","1999","1999",16,2651860,Unreliable,Unreliable
,"Arkansas","05","2000","2000",10,2673400,Unreliable,Unreliable
,"Arkansas","05","2001","2001",23,2691571,0.9,0.9
,"Arkansas","05","2002","2002",63,2705927,2.3,2.5
,"Arkansas","05","2003","2003",74,2724816,2.7,2.8
,"Arkansas","05","2004","2004",98,2749686,3.6,3.7
,"Arkansas","05","2005","2005",100,2781097,3.6,3.8
,"Arkansas","05","2006","2006",120,2821761,4.3,4.4
,"Arkansas","05","2007","2007",132,2848650,4.6,4.8
,"Arkansas","05","2008","2008",172,2874554,6.0,6.3
,"Arkansas","05","2009","2009",168,2896843,5.8,6.1
,"Arkansas","05","2010","2010",148,2915918,5.1,5.3
,"Arkansas","05","2011","2011",143,2937979,4.9,5.2
,"Arkansas","05","2012","2012",151,2949131,5.1,5.4
,"Arkansas","05","2013","2013",135,2959373,4.6,4.7
,"Arkansas","05","2014","2014",139,2966369,4.7,5.0
,"Arkansas","05","2015","2015",160,2978204,5.4,5.7
,"Arkansas","05","2016","2016",132,2988248,4.4,4.7
,"Arkansas","05","2017","2017",125,3004279,4.2,4.4
,"Arkansas","05","2018","2018",119,3013825,3.9,4.2
,"Arkansas","05","2019","2019",98,3017804,3.2,3.5
,"Arkansas","05","2020","2020",105,3030522,3.5,3.5
,"California","06","1999","1999",994,33499204,3.0,3.0
,"California","06","2000","2000",673,33871648,2.0,2.0
,"California","06","2001","2001",353,34479458,1.0,1.0
,"California","06","2002","2002",1011,34871843,2.9,2.9
,"California","06","2003","2003",935,35253159,2.7,2.7
,"California","06","2004","2004",928,35574576,2.6,2.6
,"California","06","2005","2005",949,35827943,2.6,2.6
,"California","06","2006","2006",1037,36021202,2.9,2.8
,"California","06","2007","2007",1182,36250311,3.3,3.2
,"California","06","2008","2008",1347,36604337,3.7,3.6
,"California","06","2009","2009",1495,36961229,4.0,3.9
,"California","06","2010","2010",1431,37253956,3.8,3.7
,"California","06","2011","2011",1472,37691912,3.9,3.8
,"California","06","2012","2012",1233,38041430,3.2,3.1
,"California","06","2013","2013",1305,38332521,3.4,3.2
,"California","06","2014","2014",1315,38802500,3.4,3.2
,"California","06","2015","2015",1248,39144818,3.2,3.0
,"California","06","2016","2016",1172,39250017,3.0,2.8
,"California","06","2017","2017",1169,39536653,3.0,2.8
,"California","06","2018","2018",1084,39557045,2.7,2.6
,"California","06","2019","2019",1073,39512223,2.7,2.6
,"California","06","2020","2020",1208,39368078,3.1,2.9
,"Colorado","08","1999","1999",55,4226018,1.3,1.3
,"Colorado","08","2000","2000",71,4301261,1.7,1.6
,"Colorado","08","2001","2001",109,4425687,2.5,2.4
,"Colorado","08","2002","2002",95,4490406,2.1,2.0
,"Colorado","08","2003","2003",101,4528732,2.2,2.2
,"Colorado","08","2004","2004",119,4575013,2.6,2.5
,"Colorado","08","2005","2005",152,4631888,3.3,3.1
